t_id,p_id,customer_id
1001,1,70
1002,2,15
1003,3,35
1004,4,35
1005,5,33
1006,6,88
1007,7,92
1008,8,21
1009,9,2
1010,10,29
1011,11,28
1012,12,63
1013,13,52
1014,14,53
1015,15,62
1016,1,5
1017,2,37
1018,3,4
1019,4,66
1020,5,89
1021,6,80
1022,7,47
1023,8,8
1024,9,81
1025,10,31
1026,11,14
1027,12,50
1028,13,21
1029,14,35
1030,15,15
1031,1,50
1032,2,48
1033,3,45
1034,4,88
1035,5,88
1036,6,70
1037,7,84
1038,8,53
1039,9,42
1040,10,27
1041,11,97
1042,12,52
1043,13,32
1044,14,75
1045,15,16
1046,1,49
1047,2,26
1048,3,47
1049,4,80
1050,5,45
1051,6,19
1052,7,100
1053,8,22
1054,9,64
1055,10,36
1056,11,20
1057,12,62
1058,13,75
1059,14,28
1060,15,81
1061,1,32
1062,2,10
1063,3,100
1064,4,72
1065,5,36
1066,6,41
1067,7,64
1068,8,3
1069,9,72
1070,10,23
1071,11,42
1072,12,28
1073,13,30
1074,14,14
1075,15,18
1076,1,55
1077,2,77
1078,3,65
1079,4,52
1080,5,14
1081,6,32
1082,7,44
1083,8,15
1084,9,38
1085,10,3
1086,11,80
1087,12,30
1088,13,42
1089,14,49
1090,15,20
1091,1,80
1092,2,68
1093,3,38
1094,4,58
1095,5,62
1096,6,74
1097,7,53
1098,8,79
1099,9,80
1100,10,44
1101,11,24
1102,12,66
1103,13,4
1104,14,84
1105,15,64
1106,1,78
1107,2,5
1108,3,39
1109,4,25
1110,5,44
1111,6,79
1112,7,86
1113,8,14
1114,9,38
1115,10,56
1116,11,6
1117,12,8
1118,13,100
1119,14,90
1120,15,37
1121,1,33
1122,2,27
1123,3,12
1124,4,3
1125,5,44
1126,6,2
1127,7,21
1128,8,86
1129,9,92
1130,10,19
1131,11,60
1132,12,57
1133,13,50
1134,14,42
1135,15,46
1136,1,51
1137,2,52
1138,3,73
1139,4,2
1140,5,86
1141,6,50
1142,7,5
1143,8,5
1144,9,47
1145,10,9
1146,11,80
1147,12,25
1148,13,53
1149,14,55
1150,15,18
1151,1,48
1152,2,78
1153,3,46
1154,4,75
1155,5,15
1156,6,1
1157,7,91
1158,8,12
1159,9,40
1160,10,31
1161,11,37
1162,12,53
1163,13,52
1164,14,26
1165,15,33
1166,1,95
1167,2,15
1168,3,98
1169,4,40
1170,5,18
1171,6,51
1172,7,27
1173,8,17
1174,9,57
1175,10,51
1176,11,56
1177,12,27
1178,13,70
1179,14,7
1180,15,83
1181,1,85
1182,2,79
1183,3,85
1184,4,66
1185,5,92
1186,6,6
1187,7,46
1188,8,53
1189,9,85
1190,10,83
1191,11,42
1192,12,22
1193,13,89
1194,14,69
1195,15,44
1196,1,22
1197,2,14
1198,3,21
1199,4,30
1200,5,36
1201,6,16
1202,7,57
1203,8,44
1204,9,86
1205,10,32
1206,11,66
1207,12,62
1208,13,49
1209,14,79
1210,15,92
1211,1,72
1212,2,57
1213,3,60
1214,4,67
1215,5,71
1216,6,65
1217,7,23
1218,8,35
1219,9,84
1220,10,28
1221,11,81
1222,12,50
1223,13,13
1224,14,52
1225,15,99
1226,1,46
1227,2,16
1228,3,80
1229,4,49
1230,5,15
1231,6,14
1232,7,87
1233,8,20
1234,9,71
1235,10,44
1236,11,79
1237,12,5
1238,13,2
1239,14,95
1240,15,96
1241,1,23
1242,2,79
1243,3,28
1244,4,58
1245,5,10
1246,6,74
1247,7,12
1248,8,62
1249,9,85
1250,10,95
1251,11,27
1252,12,4
1253,13,89
1254,14,88
1255,15,46
1256,1,85
1257,2,79
1258,3,99
1259,4,71
1260,5,68
1261,6,52
1262,7,39
1263,8,26
1264,9,68
1265,10,88
1266,11,59
1267,12,57
1268,13,29
1269,14,60
1270,15,16
1271,1,85
1272,2,82
1273,3,76
1274,4,2
1275,5,97
1276,6,100
1277,7,68
1278,8,70
1279,9,10
1280,10,4
1281,11,84
1282,12,18
1283,13,69
1284,14,55
1285,15,3
1286,1,17
1287,2,57
1288,3,90
1289,4,27
1290,5,32
1291,6,72
1292,7,90
1293,8,93
1294,9,16
1295,10,52
1296,11,91
1297,12,3
1298,13,90
1299,14,23
1300,15,14
1301,1,37
1302,2,34
1303,3,29
1304,4,42
1305,5,36
1306,6,8
1307,7,43
1308,8,96
1309,9,11
1310,10,70
1311,11,57
