t_id,p_id,customer_id
1,6,59
2,15,77
3,6,58
4,9,23
5,11,97
6,5,21
7,3,51
8,14,47
9,10,53
10,9,48
11,4,71
12,14,75
13,8,82
14,11,74
15,5,48
16,4,53
17,2,89
18,11,43
19,1,48
20,12,21
21,5,2
22,11,62
23,10,53
24,11,83
25,4,48
26,8,59
27,7,41
28,15,72
29,4,10
30,15,40
31,8,23
32,15,37
33,8,25
34,11,76
35,5,10
36,6,89
37,15,54
38,8,87
39,7,12
40,6,85
41,12,96
42,5,20
43,6,82
44,1,66
45,13,17
46,8,3
47,1,75
48,15,79
49,8,18
50,1,26
51,11,76
52,2,79
53,13,70
54,13,85
55,7,40
56,11,74
57,10,55
58,3,8
59,10,42
60,1,4
61,14,8
62,12,66
63,4,62
64,12,10
65,15,64
66,8,22
67,1,14
68,14,77
69,13,91
70,4,89
71,15,88
72,1,52
73,4,77
74,12,41
75,6,49
76,2,47
77,1,51
78,15,3
79,14,1
80,3,7
81,15,48
82,5,71
83,15,44
84,12,67
85,12,16
86,14,94
87,15,97
88,5,34
89,11,23
90,12,73
91,11,30
92,10,49
93,8,60
94,13,62
95,4,73
96,3,88
97,1,55
98,9,72
99,6,42
100,11,93
101,8,23
102,6,32
103,14,75
104,15,37
105,12,6
106,8,89
107,2,70
108,10,14
109,12,27
110,5,75
111,9,3
112,10,82
113,4,76
114,11,27
115,11,56
116,14,66
117,1,91
118,13,84
119,12,97
120,14,3
121,8,27
122,14,19
123,4,44
124,8,91
125,4,22
126,2,61
127,14,53
128,1,46
129,10,81
130,12,42
131,12,41
132,12,35
133,6,18
134,12,96
135,9,56
136,11,62
137,7,56
138,3,94
139,4,17
140,13,58
141,8,40
142,11,71
143,6,57
144,6,8
145,4,71
146,8,83
147,7,33
148,11,9
149,7,6
150,13,60
151,6,33
152,4,92
153,7,88
154,10,16
155,5,72
156,13,2
157,3,96
158,5,52
159,7,79
160,4,12
161,4,90
162,10,15
163,6,18
164,6,2
165,13,30
166,8,46
167,7,14
168,7,84
169,12,84
170,15,74
171,11,60
172,8,95
173,12,85
174,6,70
175,9,58
176,10,93
177,13,9
178,11,56
179,14,38
180,2,41
181,8,30
182,5,76
183,1,31
184,2,47
185,9,67
186,12,27
187,6,45
188,10,95
189,12,71
190,8,24
191,12,44
192,13,49
193,2,60
194,1,75
195,11,22
196,10,71
197,15,57
198,2,73
199,7,99
200,1,35
201,9,78
202,2,19
203,7,35
204,7,98
205,15,48
206,2,44
207,11,12
208,2,23
209,12,2
210,11,42
211,3,48
212,12,36
213,7,79
214,15,11
215,9,50
216,1,59
217,3,48
218,1,57
219,14,83
220,7,43
221,4,48
222,7,90
223,1,98
224,15,29
225,14,67
226,14,69
227,7,55
228,6,36
229,7,5
230,6,35
231,13,64
232,12,25
233,4,54
234,12,30
235,13,4
236,10,54
237,13,28
238,9,39
239,6,55
240,15,80
241,4,97
242,6,55
243,1,42
244,12,67
245,9,82
246,8,12
247,2,46
248,8,41
249,15,100
250,11,10
251,14,58
252,5,80
253,4,93
254,11,96
255,12,33
256,9,51
257,14,95
258,8,38
259,10,68
260,10,50
261,5,43
262,4,63
263,5,35
264,4,88
265,2,45
266,10,35
267,12,75
268,1,91
269,4,89
270,2,86
271,11,18
272,9,24
273,1,90
274,1,75
275,8,93
276,12,45
277,11,95
278,14,6
279,15,27
280,1,65
281,9,41
282,5,31
283,3,45
284,4,13
285,15,60
286,8,39
287,2,62
288,8,27
289,13,81
290,2,81
291,14,87
292,7,62
293,15,78
294,1,57
295,1,27
296,12,31
297,12,99
298,15,43
299,14,98
300,9,46
301,14,83
302,6,68
303,2,100
304,12,61
305,3,79
306,4,38
307,11,36
308,11,78
309,7,51
310,3,7
311,3,31
312,1,18
313,10,48
314,11,37
315,7,27
316,3,6
317,8,69
318,3,58
319,14,100
320,6,15
321,2,5
322,15,66
323,12,64
324,7,25
325,1,44
326,10,1
327,13,92
328,5,99
329,4,42
330,15,44
331,13,74
332,13,42
333,3,96
334,8,33
335,12,43
336,15,30
337,9,21
338,14,97
339,10,42
340,3,75
341,13,61
342,14,51
343,7,62
344,3,55
345,13,49
346,14,25
347,2,40
348,10,52
349,12,67
350,4,51
351,14,36
352,6,9
353,8,72
354,8,71
355,3,80
356,7,65
357,2,63
358,2,2
359,15,38
360,5,68
361,13,31
362,2,85
363,2,48
364,15,42
365,13,67
366,5,10
367,6,85
368,10,34
369,1,99
370,2,32
371,11,16
372,4,88
373,10,17
374,3,17
375,11,67
376,11,3
377,3,35
378,13,62
379,13,53
380,14,35
381,7,80
382,2,25
383,3,30
384,12,37
385,11,39
386,10,48
387,7,24
388,9,65
389,13,69
390,6,33
391,13,33
392,4,45
393,1,84
394,5,35
395,13,68
396,10,7
397,15,71
398,15,30
399,10,99
400,1,52
401,7,81
402,5,6
403,6,80
404,6,86
405,7,34
406,9,79
407,5,2
408,1,64
409,4,45
410,14,7
411,2,7
412,6,4
413,5,47
414,14,64
415,2,33
416,4,6
417,11,4
418,15,39
419,3,57
420,14,25
421,11,44
422,11,98
423,8,32
424,15,60
425,4,8
426,7,38
427,2,95
428,8,35
429,3,90
430,10,66
431,3,44
432,13,17
433,13,77
434,7,29
435,2,10
436,15,98
437,6,17
438,4,90
439,6,49
440,3,96
441,3,54
442,5,83
443,11,70
444,7,75
445,5,61
446,4,63
447,5,21
448,6,87
449,13,61
450,12,62
451,13,91
452,9,71
453,12,42
454,15,33
455,12,31
456,13,30
457,10,90
458,7,29
459,14,47
460,7,96
461,15,38
462,15,6
463,14,86
464,4,49
465,6,37
466,1,15
467,7,32
468,1,59
469,9,37
470,10,23
471,4,27
472,8,4
473,11,56
474,6,82
475,5,21
476,3,33
477,1,13
478,10,81
479,6,46
480,1,46
481,10,59
482,3,100
483,15,14
484,6,77
485,11,53
486,11,26
487,3,58
488,3,9
489,5,33
490,13,72
491,14,88
492,12,93
493,10,79
494,7,7
495,11,48
496,11,30
497,2,67
498,10,88
499,3,36
500,7,16
501,4,23
502,8,42
503,11,64
504,1,34
505,4,37
506,12,93
507,13,17
508,4,25
509,9,26
510,2,23
511,7,72
512,13,89
513,8,43
514,1,64
515,11,75
516,11,54
517,4,32
518,5,52
519,1,99
520,2,41
521,9,22
522,5,50
523,4,86
524,6,55
525,14,7
526,3,54
527,2,9
528,12,8
529,13,10
530,7,71
531,2,5
532,3,59
533,14,23
534,3,95
535,2,67
536,9,20
537,8,80
538,13,92
539,10,57
540,8,48
541,11,53
542,14,11
543,4,52
544,4,68
545,7,81
546,3,36
547,11,48
548,12,11
549,14,36
550,6,89
551,10,25
552,5,14
553,7,12
554,3,44
555,4,71
556,7,86
557,2,85
558,9,20
559,10,29
560,2,49
561,9,22
562,12,88
563,2,90
564,4,13
565,1,94
566,6,45
567,6,18
568,12,28
569,7,59
570,11,69
571,5,2
572,1,90
573,10,46
574,8,45
575,4,3
576,1,58
577,13,90
578,5,96
579,14,27
580,7,73
581,12,26
582,4,65
583,7,14
584,6,85
585,7,62
586,15,46
587,1,59
588,15,46
589,13,99
590,15,60
591,13,46
592,6,74
593,10,28
594,8,78
595,10,4
596,7,37
597,8,95
598,2,34
599,14,49
600,8,84
601,9,40
602,6,53
603,3,19
604,6,19
